Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SUNTV.NS,SUNTV.NS,SUNTV.NS,SUNTV.NS,SUNTV.NS,SUNTV.NS
Date,,,,,,
2006-04-24,233.30982971191406,366.1625061035156,375.7250061035156,250.0,250.0,46342060
2006-04-25,208.7705841064453,327.6499938964844,370.0,310.25,365.0,14368480
2006-04-26,207.17771911621094,325.1499938964844,337.5,319.25,337.5,2515764
2006-04-27,211.55825805664062,332.0249938964844,341.7250061035156,326.0,327.5,2298448
2006-04-28,202.8687286376953,318.38751220703125,325.0,280.0,325.0,1392384
2006-05-02,208.09361267089844,326.5874938964844,333.75,308.75,320.0,1412796
2006-05-03,207.042236328125,324.9375,333.0,321.3125,327.25,607716
2006-05-04,202.7572479248047,318.2124938964844,327.3125,314.5249938964844,323.75,340108
2006-05-05,201.14044189453125,315.67498779296875,321.4624938964844,313.75,316.25,216780
2006-05-08,204.77232360839844,321.375,324.70001220703125,313.75,317.0,242040
2006-05-09,220.66983032226562,346.32501220703125,352.25,325.0,325.0,2433960
2006-05-10,235.96205139160156,370.32501220703125,373.67498779296875,341.25,346.25,2342548
2006-05-11,227.75843811035156,357.45001220703125,405.0,344.0,389.48748779296875,2951684
2006-05-12,219.921142578125,345.1499938964844,357.25,340.5,349.75,1212732
2006-05-15,204.95545959472656,321.6625061035156,357.45001220703125,312.0,357.45001220703125,1568976
2006-05-16,211.82106018066406,332.4375,342.1000061035156,301.25,325.0,1090132
2006-05-17,204.97146606445312,321.6875,347.5,319.25,335.0,671508
2006-05-18,195.1031951904297,306.20001220703125,327.23748779296875,300.0,322.5,927720
2006-05-19,190.19686889648438,298.5,322.5,292.0,322.5,406928
2006-05-22,183.91273498535156,288.63751220703125,310.75,260.01251220703125,298.5,711036
2006-05-23,184.67738342285156,289.8374938964844,292.5,275.25,287.5,251996
2006-05-24,183.12425231933594,287.3999938964844,296.1000061035156,284.25,287.5,250584
2006-05-25,186.54904174804688,292.7749938964844,299.75,275.0,287.3999938964844,326728
2006-05-26,193.2792205810547,303.3374938964844,307.5,292.5625,292.5625,226212
2006-05-29,195.00759887695312,306.04998779296875,313.75,302.5,303.73748779296875,165596
2006-05-30,190.42787170410156,298.86248779296875,315.0,296.5249938964844,315.0,101864
2006-05-31,192.84115600585938,302.6499938964844,308.75,285.75,290.5,195796
2006-06-01,195.5889892578125,306.9624938964844,310.5,301.75,308.75,206464
2006-06-02,187.52073669433594,294.29998779296875,304.95001220703125,285.25,298.7749938964844,162836
