entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14
23/01/2025,^NSEI,NIFTY 50,39.23,41.23,60.4
23/01/2025,^CNXAUTO,NIFTY AUTO,37.29,40.66,62.65
23/01/2025,^NSEBANK,NIFTY BANK,39.33,41.29,55.56
23/01/2025,^CNXFMCG,NIFTY FMCG,40.62,40.14,75.81
23/01/2025,^CNXIT,NIFTY IT,44.38,52.76,65.63
23/01/2025,^CNXMETAL,NIFTY METAL,44.14,41.07,55.11
23/01/2025,^CNXPHARMA,NIFTY PHARMA,0.0,0.0,0.0
23/01/2025,^CNXREALTY,NIFTY REALTY,24.01,34.79,56.36
23/01/2025,^CNXMEDIA,NIFTY MEDIA,30.15,33.14,42.41
23/01/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,30.82,40.17,61.7
