Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,,
2017-08-01,273.1736145019531,274.7250061035156,296.25,248.125,296.0,45781564
2017-09-01,282.6945495605469,284.29998779296875,289.0,264.25,275.5,19689208
2017-10-01,289.2324523925781,290.875,311.5,278.7749938964844,284.29998779296875,20567886
2017-11-01,347.0540466308594,349.0249938964844,356.5,290.0,295.4750061035156,16675524
2017-12-01,331.51727294921875,333.3999938964844,368.5,325.0,349.8500061035156,12418650
2018-01-01,326.42120361328125,328.2749938964844,370.54998779296875,322.70001220703125,334.5,8583674
2018-02-01,293.9307556152344,295.6000061035156,337.0,277.7749938964844,326.0,5875730
2018-03-01,307.2799377441406,309.0249938964844,319.5,282.6499938964844,297.54998779296875,5603798
2018-04-01,358.8868408203125,360.92498779296875,374.20001220703125,307.5,312.0,11720158
2018-05-01,346.68115234375,348.6499938964844,366.5,325.625,360.92498779296875,5397118
2018-06-01,326.0235290527344,327.875,367.17498779296875,325.0,345.5,7762110
2018-07-01,320.1319580078125,321.95001220703125,346.54998779296875,306.0249938964844,330.32501220703125,41006998
2018-08-01,365.76177978515625,367.54998779296875,372.5,319.0,320.1000061035156,30213474
2018-09-01,285.7529602050781,287.1499938964844,367.92498779296875,272.5249938964844,366.79998779296875,16579132
2018-10-01,276.44842529296875,277.79998779296875,319.9750061035156,250.25,280.0,22124782
2018-11-01,282.74267578125,284.125,306.20001220703125,260.0,280.0249938964844,17441318
2018-12-01,309.5366516113281,311.04998779296875,326.45001220703125,283.0,291.92498779296875,18980808
2019-01-01,290.7037353515625,292.125,334.4750061035156,286.04998779296875,311.04998779296875,16509202
2019-02-01,288.39007568359375,289.79998779296875,304.92498779296875,279.0,292.79998779296875,5447734
2019-03-01,296.35113525390625,297.79998779296875,314.125,270.625,288.32501220703125,19259626
2019-04-01,320.7568359375,322.32501220703125,323.5,289.0,299.29998779296875,12955290
2019-05-01,346.3815612792969,348.07501220703125,359.5,309.20001220703125,322.32501220703125,13268626
2019-06-01,350.4118347167969,352.125,358.3500061035156,332.79998779296875,346.32501220703125,6603486
2019-07-01,337.4999694824219,339.1499938964844,354.5,312.0,348.7749938964844,10479264
2019-08-01,335.587158203125,336.8500061035156,352.5,311.25,335.5,6802858
2019-09-01,328.5137634277344,329.75,345.0,307.04998779296875,336.8500061035156,21112140
2019-10-01,341.5397644042969,342.82501220703125,356.5,318.1499938964844,326.17498779296875,15025562
2019-11-01,410.3309020996094,411.875,427.5,328.0,345.0,28360794
2019-12-01,400.0445861816406,401.54998779296875,419.9750061035156,383.625,411.0,9989404
2020-01-01,530.1798706054688,532.1749877929688,552.5,393.125,402.0,48011802
2020-02-01,579.2702026367188,581.4500122070312,602.0,495.5,530.0,25648202
2020-03-01,251.7277374267578,252.6750030517578,609.0,235.47500610351562,582.2750244140625,50689324
2020-04-01,271.1048278808594,272.125,283.375,221.8000030517578,265.0,29418040
2020-05-01,195.0659637451172,195.8000030517578,272.125,183.0,272.125,30968682
2020-06-01,270.731201171875,271.75,309.2250061035156,200.0,200.0,43914054
2020-07-01,368.8370666503906,370.2250061035156,408.45001220703125,271.0,275.5,38592786
2020-08-01,332.74786376953125,334.0,381.0,325.57501220703125,375.0,22062920
2020-09-01,325.94842529296875,327.17498779296875,368.45001220703125,308.3500061035156,336.0,21365826
2020-10-01,386.22161865234375,387.67498779296875,406.0,331.0,331.54998779296875,21652664
2020-11-01,417.95220947265625,419.5249938964844,472.75,376.0,387.0,32292304
2020-12-01,424.7018127441406,426.29998779296875,475.0,360.2250061035156,424.75,34870760
2021-01-01,434.614501953125,436.25,465.75,421.25,427.5,35934164
2021-02-01,561.1383666992188,563.25,603.5,445.5,445.5,33449054
2021-03-01,611.6233520507812,613.9249877929688,677.2000122070312,562.0,569.0,63658582
2021-04-01,500.2674560546875,502.1499938964844,639.0,486.6499938964844,625.0,75494246
2021-05-01,492.4219665527344,494.2749938964844,504.0,455.0,474.5,78260968
2021-06-01,515.9833374023438,517.9249877929688,543.7999877929688,488.0,495.0,49510956
2021-07-01,607.5636596679688,609.8499755859375,630.0,510.0249938964844,521.0,67098178
2021-08-01,563.2554321289062,565.375,694.9249877929688,525.5750122070312,614.5,87867928
2021-09-01,579.942626953125,582.125,606.5,530.5,586.0,90142578
2021-10-01,605.8949584960938,608.1749877929688,649.75,560.0,580.0,46389624
2021-11-01,545.9953002929688,548.0499877929688,630.9249877929688,540.0250244140625,617.2000122070312,27851208
2021-12-01,516.3070678710938,518.25,597.5,462.5,550.5250244140625,51533908
2022-01-01,652.3203125,654.7750244140625,669.0,519.9500122070312,519.9500122070312,83348904
2022-02-01,599.5438842773438,601.7999877929688,710.5,582.5,662.0,39615838
2022-03-01,620.7889404296875,623.125,629.4249877929688,525.0,601.7999877929688,56708840
2022-04-01,692.4193725585938,695.0250244140625,732.9749755859375,617.5,619.5,59354550
2022-05-01,623.329345703125,625.6749877929688,697.1500244140625,608.4000244140625,691.4000244140625,70725202
2022-06-01,589.4817504882812,591.7000122070312,660.2750244140625,565.0,638.0999755859375,49198572
2022-07-01,589.8303833007812,592.0499877929688,601.0,539.0,586.0,37287577
2022-08-01,632.0667114257812,633.9000244140625,668.0,588.25,593.2000122070312,49050209
