Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS,SOBHA.NS
Date,,,,,,
2007-01-01,791.103515625,982.25,1128.199951171875,975.0,996.0999755859375,13965358
2007-02-01,600.94873046875,746.1500244140625,1050.0,721.0,990.0,7102707
2007-03-01,647.057861328125,803.4000244140625,824.0,620.0,747.0,7428015
2007-04-01,700.7376098632812,870.0499877929688,935.0,726.0,770.0,7301775
2007-05-01,737.3430786132812,915.5,987.4000244140625,843.0,870.0499877929688,4367345
2007-06-01,732.7925415039062,909.8499755859375,968.5,817.0999755859375,928.7999877929688,2855163
2007-07-01,718.738525390625,892.4000244140625,985.0,837.5999755859375,905.0,3242132
2007-08-01,605.4185791015625,751.7000122070312,878.0,711.0999755859375,862.75,1279980
2007-09-01,743.339599609375,917.0999755859375,930.0,741.4500122070312,749.0,2195087
2007-10-01,768.8309936523438,948.5499877929688,1060.0,864.5999755859375,919.9000244140625,3017086
2007-11-01,704.6366577148438,869.3499755859375,970.0,795.0999755859375,964.9000244140625,1049831
2007-12-01,738.5169677734375,911.1500244140625,1049.949951171875,847.0,884.0,2042794
2008-01-01,589.74365234375,727.5999755859375,1043.949951171875,580.0499877929688,915.0,3161903
2008-02-01,683.80615234375,843.6500244140625,899.8499755859375,730.0,730.0,931140
2008-03-01,489.31866455078125,603.7000122070312,838.0,575.0,762.2000122070312,1052455
2008-04-01,498.51812744140625,615.0499877929688,648.5,580.0,619.7999877929688,1651614
2008-05-01,404.3343505859375,498.8500061035156,641.9000244140625,480.25,615.0499877929688,2254776
2008-06-01,226.6654815673828,279.6499938964844,509.95001220703125,271.25,503.04998779296875,2186649
2008-07-01,206.2400360107422,254.4499969482422,288.79998779296875,225.14999389648438,280.0,6723617
2008-08-01,221.1901092529297,265.75,306.0,247.5,250.0,3168398
2008-09-01,142.2025604248047,170.85000610351562,286.75,152.14999389648438,250.10000610351562,2415941
2008-10-01,93.38675689697266,112.19999694824219,179.0,100.05000305175781,174.0,3046667
2008-11-01,76.98998260498047,92.5,131.0500030517578,83.0,114.75,4238831
2008-12-01,87.60210418701172,105.25,126.0,83.4000015258789,91.55000305175781,3413174
2009-01-01,72.6618881225586,87.30000305175781,119.75,61.0,107.0,3407323
2009-02-01,66.79400634765625,80.25,95.8499984741211,72.55000305175781,86.4000015258789,1896276
2009-03-01,65.8784408569336,79.1500015258789,92.30000305175781,75.0,78.0,2011439
2009-04-01,82.48330688476562,99.0999984741211,115.0,78.55000305175781,80.80000305175781,5017225
2009-05-01,159.8894500732422,192.10000610351562,203.0,99.0999984741211,99.0999984741211,7588967
2009-06-01,173.6644287109375,208.64999389648438,257.70001220703125,191.0,198.0,6547162
2009-07-01,180.72027587890625,216.1999969482422,246.0,176.0,210.39999389648438,7630530
2009-08-01,206.50762939453125,247.0500030517578,265.70001220703125,195.0,220.0,9128412
2009-09-01,220.0908660888672,263.29998779296875,284.0,225.0,251.6999969482422,7653441
2009-10-01,188.2433319091797,225.1999969482422,307.70001220703125,210.35000610351562,264.0,7252483
2009-11-01,192.9661407470703,230.85000610351562,255.8000030517578,196.14999389648438,225.0,7629086
