Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,,
2002-07-01,264.908447265625,315.8800048828125,325.0,310.0,315.0,17040
2002-07-08,264.1955261230469,315.0299987792969,329.0,310.0,317.5,18320
2002-07-15,262.4931335449219,313.0,320.0,300.0,317.3999938964844,22490
2002-07-22,252.68106079101562,301.29998779296875,310.0299987792969,300.0,310.0299987792969,9230
2002-07-29,251.0038299560547,299.29998779296875,313.0,297.6000061035156,300.1000061035156,14870
2002-08-05,248.90721130371094,296.79998779296875,302.0,293.1000061035156,300.0,2510
2002-08-12,253.26817321777344,302.0,302.0,295.5,297.5,1360
2002-08-19,255.7840576171875,305.0,310.7799987792969,300.5,301.5,1310
2002-08-26,251.13795471191406,299.4599914550781,305.0,290.0,305.0,4120
2002-09-02,252.93264770507812,301.6000061035156,303.5,290.0,301.5,4140
2002-09-09,252.09402465820312,300.6000061035156,302.1000061035156,300.5,301.6000061035156,750
2002-09-16,250.16517639160156,298.29998779296875,300.6000061035156,295.510009765625,300.6000061035156,2300
2002-09-23,247.3976593017578,295.0,295.5,290.5,295.5,480
2002-09-30,241.94650268554688,288.5,295.0,280.1000061035156,295.0,2210
2002-10-07,239.4306640625,285.5,293.8999938964844,280.1099853515625,282.0,1730
2002-10-14,256.203369140625,305.5,314.5,285.0,285.0,1650
2002-10-21,259.97723388671875,310.0,312.0,302.5,304.0,2200
2002-10-28,258.29998779296875,308.0,314.0,306.0,306.0,1260
2002-11-04,255.7840576171875,305.0,310.0,305.0,310.0,2800
2002-11-11,267.19781494140625,318.6099853515625,318.7799987792969,305.5,311.5,29240
2002-11-18,274.2591552734375,327.0299987792969,329.75,318.0,318.0,33470
2002-11-25,262.4092102050781,312.8999938964844,324.989990234375,310.0,323.0,21590
2002-12-02,261.461669921875,311.7699890136719,318.0,307.2099914550781,314.0,35320
2002-12-09,264.8413391113281,315.79998779296875,324.0,310.0,310.0,36140
2002-12-16,265.00897216796875,316.0,319.0,310.0,310.0,15890
2002-12-23,268.7493591308594,320.4599914550781,321.0,315.79998779296875,316.0,11250
2002-12-30,283.718994140625,338.30999755859375,350.0,323.0,325.0,16870
2003-01-06,292.28143310546875,348.5199890136719,355.0,336.70001220703125,336.79998779296875,11840
2003-01-13,303.0915832519531,361.4100036621094,362.1000061035156,340.1000061035156,347.1000061035156,18760
2003-01-20,306.10223388671875,365.0,367.8999938964844,355.0,355.0,15330
2003-01-27,310.7147521972656,370.5,372.5,362.5,363.0,8810
